entry_dt,exit_dt,side,entry_px,exit_px,pnl,pnl_pct,result,equity
2018-11-08 12:00:00,2018-11-09 17:00:00,short,2305.846989441567,2214.6926563912566,410.7261720524075,3.953182213204283,TP,10922.995442977048
2019-03-26 13:00:00,2019-03-28 14:00:00,long,3713.0751111128698,4161.386951895188,1312.7072958890487,12.073869430773557,TP,12230.24124114461
2019-04-19 17:00:00,2019-04-21 04:00:00,long,6789.794867611721,6631.185672328068,-291.66996356153254,-2.3359939199377204,SL,11932.456156962504
2019-04-23 14:00:00,2019-04-23 15:00:00,long,7120.957590755391,7086.91393951128,-62.984017965678134,-0.4780768711262569,SL,11863.505910918344
2019-04-29 08:00:00,2019-04-29 11:00:00,short,7224.5453668503515,6953.362722262026,439.6029252867025,3.753629201813032,TP,12297.177083249588
2019-05-03 13:00:00,2019-05-05 05:00:00,short,7196.782827257313,7434.904123922236,-413.23102142563255,-3.308718664721338,SL,11877.797473282331
2019-05-19 07:00:00,2019-05-19 09:00:00,short,7165.931594847044,7055.13724549107,177.79866864434794,1.5461262487580179,TP,12049.657243190037
2019-07-02 14:00:00,2019-07-02 17:00:00,long,14543.95408807462,14853.576780187552,250.36912507458965,2.128875615516467,TP,12294.001539643032
2019-08-18 08:00:00,2019-08-18 14:00:00,long,19997.765912732448,20355.33639487432,213.56624575621217,1.7880521439357897,TP,12501.420784629423
2019-09-12 12:00:00,2019-09-12 13:00:00,long,21653.437251301788,21525.834590521918,-79.88414465337227,-0.5892951742439828,SL,12415.285929583737
2019-10-26 09:00:00,2019-10-26 13:00:00,long,19385.130295039133,19730.831093484638,215.08714362504918,1.7833297645359316,TP,12624.165430243995
2019-11-04 05:00:00,2019-11-04 07:00:00,short,18501.77848282406,18652.25397210914,-109.03611464703316,-0.8133028369395717,SL,12508.81723288184
2019-12-06 08:00:00,2019-12-06 10:00:00,short,7264.78998697788,7299.105571498082,-65.3699507670089,-0.4723548042230046,SL,12437.19287349839
2020-03-10 12:00:00,2020-03-11 12:00:00,short,3439.9969930219095,3489.5422403018074,-185.43732817810218,-1.4402700752471955,SL,12245.536948883539
2020-03-15 08:00:00,2020-03-15 17:00:00,long,4184.289860995218,4665.918937666184,1402.684447692436,11.510413777988424,TP,13642.098628101532
2020-04-17 10:00:00,2020-04-17 19:00:00,long,4728.9475806522205,4929.250696000713,570.7257581081402,4.235680601916646,TP,14206.003336895621
2020-05-27 13:00:00,2020-05-29 09:00:00,short,4788.0614065013115,5035.937603155925,-742.9103447127806,-5.176963610325528,SL,13455.989990514394
2020-06-06 13:00:00,2020-06-06 14:00:00,short,4510.10501942329,4539.43976998304,-94.29257991298869,-0.6504227824721576,SL,13354.969415606149
2020-06-20 22:00:00,2020-06-21 23:00:00,short,5435.03992021653,5838.087010951991,-997.5391875950706,-7.415715370116432,SL,12350.752743303276
2020-06-30 07:00:00,2020-07-01 05:00:00,short,7792.210118623781,6776.221665352011,1604.9844995014448,13.038514590918258,TP,13949.561866433069
2020-08-17 12:00:00,2020-08-18 13:00:00,long,12191.955001030863,11945.25921409958,-289.0933987122766,-2.0234309174404266,SL,13653.493686787575
2020-08-21 07:00:00,2020-08-21 11:00:00,short,11822.980358191235,11943.833142355452,-146.46055379934256,-1.0221854431187272,SL,13500.206386144839
2020-09-21 09:00:00,2020-09-21 10:00:00,long,13521.466077572062,13374.899771729688,-153.01279609130674,-1.083952768150508,SL,13340.443486860459
2020-09-27 07:00:00,2020-09-27 21:00:00,short,13415.52470947414,13543.950946466752,-134.4415631877172,-0.9572956688150662,SL,13199.331701929312
2020-11-02 15:00:00,2020-11-02 20:00:00,long,15833.63161911263,16183.133459679215,284.60858249209883,2.2073384614096025,TP,13477.340618570446
2021-01-05 14:00:00,2021-01-05 17:00:00,long,29778.89672828726,29190.948396065924,-272.6994284180421,-1.9743791638285928,SL,13197.902519843119
2021-02-16 12:00:00,2021-02-17 18:00:00,long,41920.01832372475,44139.98014990188,691.973986700733,5.295708148392527,TP,13883.277555283932
2021-06-15 18:00:00,2021-06-15 19:00:00,short,28450.78118229673,28614.799573801534,-87.01857569059935,-0.5764987275880595,SL,13789.31734081569
2021-06-25 11:00:00,2021-06-25 14:00:00,short,26473.69597927453,26801.653107765025,-177.80264503316332,-1.2388037119835624,SL,13604.62003711212
2021-08-15 07:00:00,2021-08-15 11:00:00,short,24158.159089047444,24482.412827403256,-189.49646995551626,-1.3422121162486196,SL,13408.321257138046
2021-09-22 15:00:00,2021-09-22 17:00:00,long,34061.839941160055,34560.224791933964,189.38515657539983,1.463176539009172,TP,13591.002253084876
2021-10-17 10:00:00,2021-10-17 11:00:00,short,62095.774069398765,62590.73588244751,-115.1827582428266,-0.7970941991890943,SL,13469.023993715507
2021-10-24 15:00:00,2021-10-24 18:00:00,short,69122.16000147336,70947.93767681479,-362.6802613411733,-2.641378214023577,SL,13099.609220377477
2021-11-26 07:00:00,2021-11-26 08:00:00,long,87301.5251743423,86476.03957353372,-130.35213219453595,-0.9455569065489653,SL,12962.707283572752
2021-11-30 08:00:00,2021-11-30 10:00:00,short,81840.86560179038,82908.5891418466,-175.6817635050061,-1.304633733044073,SL,12780.54416642596
